start test (v3) Wed Nov 28 22:57:33 EST 2018
Wed Nov 28 23:04:44 2018, sequential_write, p, DRAM, 5, 1869320574
Wed Nov 28 23:04:44 2018, sequential_write, p, DRAM, 6, 1121619230
Wed Nov 28 23:04:44 2018, sequential_write, p, DRAM, 7, 1432684158
Wed Nov 28 23:04:44 2018, sequential_write, p, DRAM, 8, 2340639826
Wed Nov 28 23:04:44 2018, sequential_write, s, /mnt/pmem0/copy-test, 23, 1928730904
Wed Nov 28 23:04:52 2018, random_write, p, DRAM, 1, 10184223656
Wed Nov 28 23:04:52 2018, random_write, p, DRAM, 2, 9445100340
Wed Nov 28 23:04:52 2018, random_write, p, DRAM, 3, 9674251626
Wed Nov 28 23:04:52 2018, random_write, p, DRAM, 4, 9599078496
Wed Nov 28 23:04:52 2018, random_write, p, DRAM, 5, 9608521732
Wed Nov 28 23:04:52 2018, random_write, p, DRAM, 6, 9478862422
Wed Nov 28 23:04:52 2018, random_write, p, DRAM, 7, 9456110554
Wed Nov 28 23:04:52 2018, random_write, p, DRAM, 8, 9471631034
Wed Nov 28 23:04:52 2018, random_write, s, /mnt/pmem0/copy-test, 23, 10924916530
Wed Nov 28 23:05:16 2018, backwards_write, p, DRAM, 1, 5383552110
Wed Nov 28 23:05:16 2018, backwards_write, p, DRAM, 2, 6414643628
Wed Nov 28 23:05:16 2018, backwards_write, p, DRAM, 3, 5222567386
Wed Nov 28 23:05:16 2018, backwards_write, p, DRAM, 4, 6192300722
Wed Nov 28 23:05:16 2018, backwards_write, p, DRAM, 5, 6034285220
Wed Nov 28 23:05:16 2018, backwards_write, p, DRAM, 6, 5604789508
Wed Nov 28 23:05:16 2018, backwards_write, p, DRAM, 7, 5815824464
Wed Nov 28 23:05:16 2018, backwards_write, p, DRAM, 8, 6692211192
Wed Nov 28 23:05:16 2018, backwards_write, s, /mnt/pmem0/copy-test, 23, 7487380894
Wed Nov 28 23:05:39 2018, sequential_write, p, DRAM, 1, 1460117520
Wed Nov 28 23:05:39 2018, sequential_write, p, DRAM, 2, 2153959622
Wed Nov 28 23:05:39 2018, sequential_write, p, DRAM, 3, 751250812
Wed Nov 28 23:05:39 2018, sequential_write, p, DRAM, 4, 1947348682
Wed Nov 28 23:05:39 2018, sequential_write, p, DRAM, 5, 1280822010
Wed Nov 28 23:05:39 2018, sequential_write, p, DRAM, 6, 1054216660
