Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 36, 10230259292
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 37, 9654158196
Wed Apr  3 11:21:52 2019, backwards_write, p, /mnt/pmem7/copy-test, 25, 4325732938
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 26, 885453674
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 27, 2745103818
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 28, 854328156
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 29, 2683112484
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 30, 812868256
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 31, 3141880468
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 32, 768855324
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 33, 771384354
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 34, 777987806
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 35, 1043999864
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 36, 949553474
Wed Apr  3 11:21:52 2019, backwards_write, s, DRAM, 37, 999574832
Wed Apr  3 11:21:55 2019, sequential_write, p, /mnt/pmem7/copy-test, 25, 3699519452
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 26, 1506085622
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 27, 1622985666
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 28, 1737182284
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 29, 2287913530
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 30, 2421701214
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 31, 1842906912
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 32, 1203729124
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 33, 1404184664
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 34, 1293618022
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 35, 1964457378
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 36, 2067427470
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 37, 2180724976
Wed Apr  3 11:21:55 2019, sequential_write, s, DRAM, 38, 1130407518
Wed Apr  3 11:22:03 2019, random_write, p, /mnt/pmem7/copy-test, 25, 11460990200
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 26, 9190224920
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 27, 9230707610
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 28, 9368937350
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 29, 9394523004
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 30, 9282146590
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 31, 9205650560
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 32, 9226898682
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 33, 9288455916
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 34, 9465565580
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 35, 9457972310
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 36, 9217692872
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 37, 10420730764
Wed Apr  3 11:22:03 2019, random_write, s, DRAM, 38, 9689710796
Wed Apr  3 11:22:36 2019, backwards_write, p, /mnt/pmem7/copy-test, 25, 4531305882
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 26, 1064276666
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 27, 787337938
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 28, 3016705616
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 29, 904117430
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 30, 826749172
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 31, 2928989492
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 32, 995182276
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 33, 788200224
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 34, 795272402
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 35, 799224062
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 36, 950358754
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 37, 858056190
Wed Apr  3 11:22:36 2019, backwards_write, s, DRAM, 38, 3381273808
Wed Apr  3 11:22:39 2019, sequential_write, p, /mnt/pmem7/copy-test, 25, 3895261822
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 26, 1893271888
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 27, 1789615204
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 28, 2127119614
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 29, 2477295378
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 30, 2575126454
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 31, 2016123266
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 32, 1187118108
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 33, 1270907736
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 34, 1351432836
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 35, 2376847306
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 36, 1677095134
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 37, 2245989060
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 38, 1572983052
Wed Apr  3 11:22:39 2019, sequential_write, s, DRAM, 39, 1455976100
Wed Apr  3 11:22:47 2019, random_write, p, /mnt/pmem7/copy-test, 25, 11524182208
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 26, 9238314542
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 27, 9275858770
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 28, 9410774332
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 29, 9436957954
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 30, 9325594876
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 31, 9254227630
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 32, 9272834126
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 33, 9333008428
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 34, 9505583174
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 35, 9498613104
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 36, 9262963796
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 37, 9218589674
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 38, 10426493112
Wed Apr  3 11:22:47 2019, random_write, s, DRAM, 39, 9835082722
Wed Apr  3 11:23:21 2019, backwards_write, p, /mnt/pmem7/copy-test, 25, 4658074248
Wed Apr  3 11:23:21 2019, backwards_write, s, DRAM, 26, 866906212
