start test Tue Nov 20 22:33:06 EST 2018
Tue Nov 20 22:37:07 2018, backwards_write, DRAM, p, 5, 741246372
Tue Nov 20 22:37:07 2018, backwards_write, DRAM, p, 6, 1510955008
Tue Nov 20 22:37:07 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2577934232
Tue Nov 20 22:37:11 2018, sequential_write, DRAM, p, 1, 1012888316
Tue Nov 20 22:37:11 2018, sequential_write, DRAM, p, 2, 998008938
Tue Nov 20 22:37:11 2018, sequential_write, DRAM, p, 3, 994483796
Tue Nov 20 22:37:11 2018, sequential_write, DRAM, p, 4, 1035108150
Tue Nov 20 22:37:11 2018, sequential_write, DRAM, p, 5, 1048357336
Tue Nov 20 22:37:11 2018, sequential_write, DRAM, p, 6, 1020170510
Tue Nov 20 22:37:11 2018, sequential_write, DRAM, p, 7, 1005791738
Tue Nov 20 22:37:11 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2264178340
Tue Nov 20 22:37:21 2018, random_write, DRAM, p, 1, 8882860412
Tue Nov 20 22:37:21 2018, random_write, DRAM, p, 2, 8973411350
Tue Nov 20 22:37:21 2018, random_write, DRAM, p, 3, 9023678290
Tue Nov 20 22:37:21 2018, random_write, DRAM, p, 4, 9155254448
Tue Nov 20 22:37:21 2018, random_write, DRAM, p, 5, 9183868832
Tue Nov 20 22:37:21 2018, random_write, DRAM, p, 6, 8976371994
Tue Nov 20 22:37:21 2018, random_write, DRAM, p, 7, 8973667306
Tue Nov 20 22:37:21 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11157720560
Tue Nov 20 22:37:44 2018, backwards_write, DRAM, p, 1, 741229406
Tue Nov 20 22:37:44 2018, backwards_write, DRAM, p, 2, 741307262
Tue Nov 20 22:37:44 2018, backwards_write, DRAM, p, 3, 741612680
Tue Nov 20 22:37:44 2018, backwards_write, DRAM, p, 4, 748132008
Tue Nov 20 22:37:44 2018, backwards_write, DRAM, p, 5, 752736552
Tue Nov 20 22:37:44 2018, backwards_write, DRAM, p, 6, 744408826
Tue Nov 20 22:37:44 2018, backwards_write, DRAM, p, 7, 741349690
Tue Nov 20 22:37:44 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2561508098
Tue Nov 20 22:37:48 2018, sequential_write, DRAM, p, 1, 1016345154
Tue Nov 20 22:37:48 2018, sequential_write, DRAM, p, 2, 997642530
Tue Nov 20 22:37:48 2018, sequential_write, DRAM, p, 3, 1011967988
Tue Nov 20 22:37:48 2018, sequential_write, DRAM, p, 4, 1033143516
Tue Nov 20 22:37:48 2018, sequential_write, DRAM, p, 5, 1073778550
Tue Nov 20 22:37:48 2018, sequential_write, DRAM, p, 6, 1035312578
Tue Nov 20 22:37:48 2018, sequential_write, DRAM, p, 7, 1047737040
Tue Nov 20 22:37:48 2018, sequential_write, DRAM, p, 8, 1005320052
Tue Nov 20 22:37:48 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2266270710
Tue Nov 20 22:37:58 2018, random_write, DRAM, p, 1, 8912409884
Tue Nov 20 22:37:58 2018, random_write, DRAM, p, 2, 8993949086
Tue Nov 20 22:37:58 2018, random_write, DRAM, p, 3, 9047592640
Tue Nov 20 22:37:58 2018, random_write, DRAM, p, 4, 9173780432
Tue Nov 20 22:37:58 2018, random_write, DRAM, p, 5, 9205298202
Tue Nov 20 22:37:58 2018, random_write, DRAM, p, 6, 9006488136
Tue Nov 20 22:37:58 2018, random_write, DRAM, p, 7, 8996227232
Tue Nov 20 22:37:58 2018, random_write, DRAM, p, 8, 9038283474
Tue Nov 20 22:37:58 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11183251584
Tue Nov 20 22:38:21 2018, backwards_write, DRAM, p, 1, 751516416
Tue Nov 20 22:38:21 2018, backwards_write, DRAM, p, 2, 751093550
Tue Nov 20 22:38:21 2018, backwards_write, DRAM, p, 3, 751137064
Tue Nov 20 22:38:21 2018, backwards_write, DRAM, p, 4, 757685500
Tue Nov 20 22:38:21 2018, backwards_write, DRAM, p, 5, 762787438
Tue Nov 20 22:38:21 2018, backwards_write, DRAM, p, 6, 754187246
Tue Nov 20 22:38:21 2018, backwards_write, DRAM, p, 7, 751859632
Tue Nov 20 22:38:21 2018, backwards_write, DRAM, p, 8, 748032254
Tue Nov 20 22:38:21 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2248849124
Tue Nov 20 22:38:25 2018, sequential_write, DRAM, p, 1, 1067738970
Tue Nov 20 22:38:25 2018, sequential_write, DRAM, p, 2, 1007119578
Tue Nov 20 22:38:25 2018, sequential_write, DRAM, p, 3, 1021133204
Tue Nov 20 22:38:25 2018, sequential_write, DRAM, p, 4, 1040254610
Tue Nov 20 22:38:25 2018, sequential_write, DRAM, p, 5, 1052991666
Tue Nov 20 22:38:25 2018, sequential_write, DRAM, p, 6, 1098427032
Tue Nov 20 22:38:25 2018, sequential_write, DRAM, p, 7, 1057595932
Tue Nov 20 22:38:25 2018, sequential_write, DRAM, p, 8, 1025746564
Tue Nov 20 22:38:25 2018, sequential_write, DRAM, p, 9, 1014505056
Tue Nov 20 22:38:25 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2256556482
Tue Nov 20 22:38:35 2018, random_write, DRAM, p, 1, 8938760666
Tue Nov 20 22:38:35 2018, random_write, DRAM, p, 2, 9020262206
Tue Nov 20 22:38:35 2018, random_write, DRAM, p, 3, 9078400496
Tue Nov 20 22:38:35 2018, random_write, DRAM, p, 4, 9201653410
Tue Nov 20 22:38:35 2018, random_write, DRAM, p, 5, 9230178904
Tue Nov 20 22:38:35 2018, random_write, DRAM, p, 6, 9031438754
Tue Nov 20 22:38:35 2018, random_write, DRAM, p, 7, 9023537274
Tue Nov 20 22:38:35 2018, random_write, DRAM, p, 8, 9064696948
Tue Nov 20 22:38:35 2018, random_write, DRAM, p, 9, 9094461400
Tue Nov 20 22:38:35 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11210616138
Tue Nov 20 22:39:00 2018, backwards_write, DRAM, p, 1, 762882242
Tue Nov 20 22:39:00 2018, backwards_write, DRAM, p, 2, 762918834
Tue Nov 20 22:39:00 2018, backwards_write, DRAM, p, 3, 762968090
Tue Nov 20 22:39:00 2018, backwards_write, DRAM, p, 4, 769442784
Tue Nov 20 22:39:00 2018, backwards_write, DRAM, p, 5, 773146672
Tue Nov 20 22:39:00 2018, backwards_write, DRAM, p, 6, 766101196
Tue Nov 20 22:39:00 2018, backwards_write, DRAM, p, 7, 763556294
Tue Nov 20 22:39:00 2018, backwards_write, DRAM, p, 8, 759796864
Tue Nov 20 22:39:00 2018, backwards_write, DRAM, p, 9, 758129208
Tue Nov 20 22:39:00 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2229788974
Tue Nov 20 22:39:04 2018, sequential_write, DRAM, p, 1, 1132403550
Tue Nov 20 22:39:04 2018, sequential_write, DRAM, p, 2, 1042955908
Tue Nov 20 22:39:04 2018, sequential_write, DRAM, p, 3, 1059515900
Tue Nov 20 22:39:04 2018, sequential_write, DRAM, p, 4, 1068517346
Tue Nov 20 22:39:04 2018, sequential_write, DRAM, p, 5, 1085882312
Tue Nov 20 22:39:04 2018, sequential_write, DRAM, p, 6, 1112099332
Tue Nov 20 22:39:04 2018, sequential_write, DRAM, p, 7, 1095503624
Tue Nov 20 22:39:04 2018, sequential_write, DRAM, p, 8, 1048097078
Tue Nov 20 22:39:04 2018, sequential_write, DRAM, p, 9, 1029527256
Tue Nov 20 22:39:04 2018, sequential_write, DRAM, p, 10, 1040347260
Tue Nov 20 22:39:04 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2265260212
Tue Nov 20 22:39:14 2018, random_write, DRAM, p, 1, 8970519608
Tue Nov 20 22:39:14 2018, random_write, DRAM, p, 2, 9051334816
Tue Nov 20 22:39:14 2018, random_write, DRAM, p, 3, 9104017562
Tue Nov 20 22:39:14 2018, random_write, DRAM, p, 4, 9231002328
Tue Nov 20 22:39:14 2018, random_write, DRAM, p, 5, 9258547022
Tue Nov 20 22:39:14 2018, random_write, DRAM, p, 6, 9062386110
Tue Nov 20 22:39:14 2018, random_write, DRAM, p, 7, 9055986780
Tue Nov 20 22:39:14 2018, random_write, DRAM, p, 8, 9096672992
Tue Nov 20 22:39:14 2018, random_write, DRAM, p, 9, 9128057534
Tue Nov 20 22:39:14 2018, random_write, DRAM, p, 10, 9271215460
Tue Nov 20 22:39:14 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11237207402
Tue Nov 20 22:39:40 2018, backwards_write, DRAM, p, 1, 775253956
Tue Nov 20 22:39:40 2018, backwards_write, DRAM, p, 2, 774810772
Tue Nov 20 22:39:40 2018, backwards_write, DRAM, p, 3, 775360298
Tue Nov 20 22:39:40 2018, backwards_write, DRAM, p, 4, 781117634
Tue Nov 20 22:39:40 2018, backwards_write, DRAM, p, 5, 785383656
Tue Nov 20 22:39:40 2018, backwards_write, DRAM, p, 6, 778622854
Tue Nov 20 22:39:40 2018, backwards_write, DRAM, p, 7, 775435814
Tue Nov 20 22:39:40 2018, backwards_write, DRAM, p, 8, 771283726
Tue Nov 20 22:39:40 2018, backwards_write, DRAM, p, 9, 769938492
Tue Nov 20 22:39:40 2018, backwards_write, DRAM, p, 10, 776344764
Tue Nov 20 22:39:40 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2225128122
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 1, 1178881164
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 2, 1082639240
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 3, 1107232882
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 4, 1118220916
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 5, 1163880052
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 6, 1123951592
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 7, 1095880736
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 8, 1076339120
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 9, 1068023504
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 10, 1093675414
Tue Nov 20 22:39:45 2018, sequential_write, DRAM, p, 11, 1141099470
Tue Nov 20 22:39:45 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2259146634
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 1, 9049988860
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 2, 9128183070
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 3, 9179830996
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 4, 9305307498
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 5, 9341868188
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 6, 9145941250
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 7, 9135300332
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 8, 9175415350
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 9, 9201239854
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 10, 9348089728
Tue Nov 20 22:39:55 2018, random_write, DRAM, p, 11, 9397707420
Tue Nov 20 22:39:55 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11318021116
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 1, 794883394
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 2, 795164302
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 3, 795735974
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 4, 801134958
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 5, 804452188
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 6, 798971068
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 7, 795688804
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 8, 792437876
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 9, 790413730
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 10, 796900400
Tue Nov 20 22:40:24 2018, backwards_write, DRAM, p, 11, 800804266
Tue Nov 20 22:40:24 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2243130844
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 1, 1204719812
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 2, 1110972612
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 3, 1129533636
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 4, 1121514874
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 5, 1169274586
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 6, 1230766870
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 7, 1185265940
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 8, 1093861000
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 9, 1109978636
