Mon Nov 19 21:00:20 2018, sequential_write, DRAM, s, 20, 1607481702
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 1, 12158761082
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 2, 12238755790
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 3, 12285810398
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 4, 12414445444
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 5, 12482374604
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 6, 12263234296
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 7, 12245575952
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 8, 12282097530
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 9, 12308528836
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 10, 12450228232
Mon Nov 19 21:01:16 2018, random_write, /mnt/pmem0/copy-test, p, 11, 12505787932
Mon Nov 19 21:01:16 2018, random_write, DRAM, s, 20, 14592225360
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 1, 4029731952
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 2, 4405849598
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 3, 5240298722
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 4, 4092143138
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 5, 4264569014
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 6, 4950015986
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 7, 5095297240
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 8, 4783931704
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 9, 4586336246
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 10, 4151470482
Mon Nov 19 21:02:31 2018, backwards_write, /mnt/pmem0/copy-test, p, 11, 4662382556
Mon Nov 19 21:02:31 2018, backwards_write, DRAM, s, 20, 1679258952
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 4582699358
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 2, 4566152906
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 3, 4524518554
