Tue Dec  4 12:42:53 2018, random_write, s, DRAM,15,9006598200
Tue Dec  4 12:42:53 2018, random_write, s, DRAM,16,9158623918
Tue Dec  4 12:42:53 2018, random_write, s, DRAM,17,9206086220
Tue Dec  4 12:42:53 2018, random_write, s, DRAM,18,9729273010
Tue Dec  4 12:42:53 2018, random_write, s, DRAM,19,9500382778
Tue Dec  4 12:43:16 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2252124128
Tue Dec  4 12:43:16 2018, backwards_write, s, DRAM,13,797590716
Tue Dec  4 12:43:16 2018, backwards_write, s, DRAM,14,2192654090
Tue Dec  4 12:43:16 2018, backwards_write, s, DRAM,15,1955446750
Tue Dec  4 12:43:16 2018, backwards_write, s, DRAM,16,732292826
Tue Dec  4 12:43:16 2018, backwards_write, s, DRAM,17,884420668
Tue Dec  4 12:43:16 2018, backwards_write, s, DRAM,18,977966858
Tue Dec  4 12:43:16 2018, backwards_write, s, DRAM,19,746906512
Tue Dec  4 12:43:19 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2212654566
Tue Dec  4 12:43:19 2018, sequential_write, s, DRAM,13,1118434732
Tue Dec  4 12:43:19 2018, sequential_write, s, DRAM,14,921401832
Tue Dec  4 12:43:19 2018, sequential_write, s, DRAM,15,1004457012
Tue Dec  4 12:43:19 2018, sequential_write, s, DRAM,16,1344085672
Tue Dec  4 12:43:19 2018, sequential_write, s, DRAM,17,1461038456
Tue Dec  4 12:43:19 2018, sequential_write, s, DRAM,18,1684905212
Tue Dec  4 12:43:19 2018, sequential_write, s, DRAM,19,1573112098
Tue Dec  4 12:43:19 2018, sequential_write, s, DRAM,20,1221618094
Tue Dec  4 12:43:29 2018, random_write, p, /mnt/pmem1/copy-test,1,10739482410
Tue Dec  4 12:43:29 2018, random_write, s, DRAM,13,8963975256
Tue Dec  4 12:43:29 2018, random_write, s, DRAM,14,9025129080
Tue Dec  4 12:43:29 2018, random_write, s, DRAM,15,9024133576
Tue Dec  4 12:43:29 2018, random_write, s, DRAM,16,9181284870
Tue Dec  4 12:43:29 2018, random_write, s, DRAM,17,9227970114
Tue Dec  4 12:43:29 2018, random_write, s, DRAM,18,9081113304
Tue Dec  4 12:43:29 2018, random_write, s, DRAM,19,9768051128
Tue Dec  4 12:43:29 2018, random_write, s, DRAM,20,9608662190
Tue Dec  4 12:43:52 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2331147576
Tue Dec  4 12:43:52 2018, backwards_write, s, DRAM,13,961372674
Tue Dec  4 12:43:52 2018, backwards_write, s, DRAM,14,2201820630
Tue Dec  4 12:43:52 2018, backwards_write, s, DRAM,15,2477679350
Tue Dec  4 12:43:52 2018, backwards_write, s, DRAM,16,882846818
Tue Dec  4 12:43:52 2018, backwards_write, s, DRAM,17,745450734
Tue Dec  4 12:43:52 2018, backwards_write, s, DRAM,18,814930798
Tue Dec  4 12:43:52 2018, backwards_write, s, DRAM,19,755600710
Tue Dec  4 12:43:52 2018, backwards_write, s, DRAM,20,738385600
Tue Dec  4 12:43:56 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2212845588
Tue Dec  4 12:43:56 2018, sequential_write, s, DRAM,13,1099933232
