start test (v4) Thu Nov 29 17:41:33 EST 2018
Thu Nov 29 17:49:36 2018, backwards_write, p, DRAM, 2, 5218588388
Thu Nov 29 17:49:36 2018, backwards_write, p, DRAM, 3, 5217831474
Thu Nov 29 17:49:36 2018, backwards_write, p, DRAM, 4, 5218272496
Thu Nov 29 17:49:36 2018, backwards_write, p, DRAM, 5, 5220104304
Thu Nov 29 17:49:36 2018, backwards_write, p, DRAM, 6, 5220062176
Thu Nov 29 17:49:36 2018, backwards_write, p, DRAM, 7, 5214709626
Thu Nov 29 17:49:36 2018, backwards_write, p, DRAM, 8, 5216987000
Thu Nov 29 17:49:36 2018, backwards_write, s, /mnt/pmem1/copy-test, 23, 7769396600
Thu Nov 29 17:49:58 2018, sequential_write, p, DRAM, 1, 768402422
Thu Nov 29 17:49:58 2018, sequential_write, p, DRAM, 2, 768432950
Thu Nov 29 17:49:58 2018, sequential_write, p, DRAM, 3, 768161286
Thu Nov 29 17:49:58 2018, sequential_write, p, DRAM, 4, 773878084
Thu Nov 29 17:49:58 2018, sequential_write, p, DRAM, 5, 776252118
Thu Nov 29 17:49:58 2018, sequential_write, p, DRAM, 6, 770824374
Thu Nov 29 17:49:58 2018, sequential_write, p, DRAM, 7, 768610512
Thu Nov 29 17:49:58 2018, sequential_write, p, DRAM, 8, 763703692
Thu Nov 29 17:49:58 2018, sequential_write, p, DRAM, 9, 761759778
Thu Nov 29 17:49:58 2018, sequential_write, s, /mnt/pmem1/copy-test, 23, 4013422382
Thu Nov 29 17:50:07 2018, random_write, p, DRAM, 1, 9405767888
Thu Nov 29 17:50:07 2018, random_write, p, DRAM, 2, 9495437050
Thu Nov 29 17:50:07 2018, random_write, p, DRAM, 3, 9490450020
Thu Nov 29 17:50:07 2018, random_write, p, DRAM, 4, 9618844394
Thu Nov 29 17:50:07 2018, random_write, p, DRAM, 5, 9641026866
Thu Nov 29 17:50:07 2018, random_write, p, DRAM, 6, 9502727810
Thu Nov 29 17:50:07 2018, random_write, p, DRAM, 7, 9517753686
Thu Nov 29 17:50:07 2018, random_write, p, DRAM, 8, 9501830716
Thu Nov 29 17:50:07 2018, random_write, p, DRAM, 9, 9508238438
Thu Nov 29 17:50:07 2018, random_write, s, /mnt/pmem1/copy-test, 23, 11987664008
Thu Nov 29 17:50:34 2018, backwards_write, p, DRAM, 1, 5215450258
Thu Nov 29 17:50:34 2018, backwards_write, p, DRAM, 2, 5218661932
Thu Nov 29 17:50:34 2018, backwards_write, p, DRAM, 3, 5218683036
Thu Nov 29 17:50:34 2018, backwards_write, p, DRAM, 4, 5216975486
Thu Nov 29 17:50:34 2018, backwards_write, p, DRAM, 5, 5219645812
Thu Nov 29 17:50:34 2018, backwards_write, p, DRAM, 6, 5220003020
Thu Nov 29 17:50:34 2018, backwards_write, p, DRAM, 7, 5214500222
Thu Nov 29 17:50:34 2018, backwards_write, p, DRAM, 8, 5216471040
Thu Nov 29 17:50:34 2018, backwards_write, p, DRAM, 9, 5215494912
Thu Nov 29 17:50:34 2018, backwards_write, s, /mnt/pmem1/copy-test, 23, 7921675724
Thu Nov 29 17:50:58 2018, sequential_write, p, DRAM, 1, 774155752
Thu Nov 29 17:50:58 2018, sequential_write, p, DRAM, 2, 773581990
Thu Nov 29 17:50:58 2018, sequential_write, p, DRAM, 3, 774095258
Thu Nov 29 17:50:58 2018, sequential_write, p, DRAM, 4, 779807608
Thu Nov 29 17:50:58 2018, sequential_write, p, DRAM, 5, 783032774
Thu Nov 29 17:50:58 2018, sequential_write, p, DRAM, 6, 776831266
Thu Nov 29 17:50:58 2018, sequential_write, p, DRAM, 7, 773632562
Thu Nov 29 17:50:58 2018, sequential_write, p, DRAM, 8, 769619280
Thu Nov 29 17:50:58 2018, sequential_write, p, DRAM, 9, 767513756
Thu Nov 29 17:50:58 2018, sequential_write, p, DRAM, 10, 774407624
Thu Nov 29 17:50:58 2018, sequential_write, s, /mnt/pmem1/copy-test, 23, 2364077050
Thu Nov 29 17:51:07 2018, random_write, p, DRAM, 1, 9467624028
Thu Nov 29 17:51:07 2018, random_write, p, DRAM, 2, 9520349076
Thu Nov 29 17:51:07 2018, random_write, p, DRAM, 3, 9546739598
Thu Nov 29 17:51:07 2018, random_write, p, DRAM, 4, 9657152978
Thu Nov 29 17:51:07 2018, random_write, p, DRAM, 5, 9690361996
Thu Nov 29 17:51:07 2018, random_write, p, DRAM, 6, 9555114486
Thu Nov 29 17:51:07 2018, random_write, p, DRAM, 7, 9536931262
Thu Nov 29 17:51:07 2018, random_write, p, DRAM, 8, 9551751254
Thu Nov 29 17:51:07 2018, random_write, p, DRAM, 9, 9563720702
Thu Nov 29 17:51:07 2018, random_write, p, DRAM, 10, 9687346954
Thu Nov 29 17:51:07 2018, random_write, s, /mnt/pmem1/copy-test, 23, 12059007786
Thu Nov 29 17:51:36 2018, backwards_write, p, DRAM, 1, 5228313718
Thu Nov 29 17:51:36 2018, backwards_write, p, DRAM, 2, 5230660842
Thu Nov 29 17:51:36 2018, backwards_write, p, DRAM, 3, 5230036532
Thu Nov 29 17:51:36 2018, backwards_write, p, DRAM, 4, 5230601704
Thu Nov 29 17:51:36 2018, backwards_write, p, DRAM, 5, 5230382610
Thu Nov 29 17:51:36 2018, backwards_write, p, DRAM, 6, 5233907192
Thu Nov 29 17:51:36 2018, backwards_write, p, DRAM, 7, 5227201012
Thu Nov 29 17:51:36 2018, backwards_write, p, DRAM, 8, 5228901890
Thu Nov 29 17:51:36 2018, backwards_write, p, DRAM, 9, 5228323458
Thu Nov 29 17:51:36 2018, backwards_write, p, DRAM, 10, 5228920658
Thu Nov 29 17:51:36 2018, backwards_write, s, /mnt/pmem1/copy-test, 23, 8215828328
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 1, 787420260
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 2, 787632646
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 3, 787860770
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 4, 793364276
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 5, 796961536
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 6, 791250362
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 7, 788737656
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 8, 783717910
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 9, 781247736
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 10, 788752458
Thu Nov 29 17:52:03 2018, sequential_write, p, DRAM, 11, 791357494
Thu Nov 29 17:52:03 2018, sequential_write, s, /mnt/pmem1/copy-test, 23, 2411466932
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 1, 9570483318
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 2, 9611429742
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 3, 9642466584
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 4, 9760712456
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 5, 9787235848
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 6, 9640863864
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 7, 9629789168
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 8, 9645922406
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 9, 9661775392
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 10, 9784121892
Thu Nov 29 17:52:11 2018, random_write, p, DRAM, 11, 9804305576
Thu Nov 29 17:52:11 2018, random_write, s, /mnt/pmem1/copy-test, 23, 11927228292
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 1, 5370428554
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 2, 5371742226
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 3, 5371526220
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 4, 5371193178
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 5, 5371460138
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 6, 5370327854
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 7, 5367567010
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 8, 5370391480
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 9, 5369688202
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 10, 5369516404
Thu Nov 29 17:52:42 2018, backwards_write, p, DRAM, 11, 5370521872
Thu Nov 29 17:52:42 2018, backwards_write, s, /mnt/pmem1/copy-test, 23, 8433975110
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 1, 811758860
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 2, 810654588
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 3, 810768342
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 4, 816510856
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 5, 819314782
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 6, 814221168
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 7, 811783276
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 8, 803784050
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 9, 805263872
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 10, 811943148
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 11, 812568272
Thu Nov 29 17:53:11 2018, sequential_write, p, DRAM, 12, 813497450
Thu Nov 29 17:53:11 2018, sequential_write, s, /mnt/pmem1/copy-test, 23, 2411671358
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 1, 9754260086
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 2, 9671062322
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 3, 9698898998
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 4, 9809580588
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 5, 9817373030
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 6, 9712576874
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 7, 9688495040
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 8, 9697782852
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 9, 9777465310
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 10, 9954986264
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 11, 9861535032
Thu Nov 29 17:53:20 2018, random_write, p, DRAM, 12, 9747409744
Thu Nov 29 17:53:20 2018, random_write, s, /mnt/pmem1/copy-test, 23, 12329682880
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 1, 5369579650
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 2, 5369505986
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 3, 5369394862
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 4, 5369688522
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 5, 5369801176
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 6, 5371110960
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 7, 5367922042
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 8, 5369401664
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 9, 5368841216
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 10, 5369752138
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 11, 5371989814
Thu Nov 29 17:53:53 2018, backwards_write, p, DRAM, 12, 5370465276
