Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 2, 9157781506
Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 3, 9212496244
Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 4, 9333253992
Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 5, 9366301792
Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 6, 9171918442
Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 7, 9166490944
Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 8, 9200229760
Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 9, 9229781108
Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 10, 9376469092
Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 11, 9422861418
Sun Nov 25 10:23:40 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11360002834
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 1, 793987650
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 2, 794064032
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 3, 794813846
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 4, 800834528
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 5, 804115182
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 6, 797986022
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 7, 794588290
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 8, 791885684
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 9, 790170196
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 10, 796123118
Sun Nov 25 10:24:08 2018, backwards_write, DRAM, p, 11, 799783966
Sun Nov 25 10:24:08 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2261966608
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 1, 1221309216
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 2, 1128510986
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 3, 1111688720
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 4, 1180603946
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 5, 1255535096
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 6, 1135440836
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 7, 1158362018
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 8, 1120860152
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 9, 1101511934
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 10, 1200801110
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 11, 1151775794
Sun Nov 25 10:24:13 2018, sequential_write, DRAM, p, 12, 1164787882
Sun Nov 25 10:24:13 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2269672368
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 1, 9066832224
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 2, 9146478302
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 3, 9194594124
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 4, 9317624962
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 5, 9351421988
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 6, 9163427058
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 7, 9156807424
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 8, 9186419480
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 9, 9214593368
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 10, 9366640010
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 11, 9410466434
Sun Nov 25 10:24:23 2018, random_write, DRAM, p, 12, 9154342742
Sun Nov 25 10:24:23 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11363080916
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 1, 807116060
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 2, 806018204
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 3, 806261490
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 4, 812536810
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 5, 814864366
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 6, 810468468
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 7, 807672502
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 8, 804291050
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 9, 799559786
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 10, 807765104
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 11, 811329466
Sun Nov 25 10:24:54 2018, backwards_write, DRAM, p, 12, 809056338
Sun Nov 25 10:24:54 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2266283206
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 1, 1291745134
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 2, 1185688018
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 3, 1176396568
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 4, 1232327272
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 5, 1257319090
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 6, 1197216192
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 7, 1274352960
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 8, 1163656930
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 9, 1152201816
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 10, 1161767934
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 11, 1326696494
